ImageId,True Label, Predicted Label
1,9,2
2,9,2
3,0,2
4,8,2
5,0,2
6,3,2
7,0,2
8,2,2
9,8,2
10,0,2
11,2,2
12,7,2
13,1,2
14,6,2
15,4,2
16,3,2
17,5,2
18,5,2
19,4,2
20,5,2
21,2,2
22,2,2
23,8,2
24,6,2
25,4,2
26,4,2
27,0,2
28,9,2
29,4,2
30,4,2
31,6,2
32,0,2
33,0,2
34,5,2
35,7,2
36,5,2
37,8,2
38,4,2
39,8,2
40,3,2
41,7,2
42,3,2
43,1,2
44,1,2
45,8,2
46,5,2
47,7,2
48,2,2
49,5,2
50,8,2
51,7,2
52,2,2
53,6,2
54,9,2
55,0,2
56,3,2
57,4,2
58,7,2
59,7,2
60,6,2
61,6,2
62,3,2
63,3,2
64,6,2
65,5,2
66,6,2
67,1,2
68,3,2
69,8,2
70,8,2
71,6,2
72,0,2
73,6,2
74,9,2
75,8,2
76,6,2
77,3,2
78,9,2
79,9,2
80,1,2
81,7,2
82,9,2
83,8,2
84,6,2
85,0,2
86,5,2
87,4,2
88,8,2
89,2,2
90,9,2
91,3,2
92,7,2
93,6,2
94,8,2
95,7,2
96,3,2
97,4,2
98,1,2
99,8,2
100,3,2
101,9,2
102,8,2
103,5,2
104,0,2
105,3,2
106,6,2
107,5,2
108,8,2
109,5,2
110,7,2
111,5,2
112,6,2
113,2,2
114,9,2
115,6,2
116,6,2
117,3,2
118,4,2
119,9,2
120,2,2
121,0,2
122,2,2
123,1,2
124,0,2
125,2,2
126,9,2
127,2,2
128,2,2
129,5,2
130,0,2
131,5,2
132,9,2
133,0,2
134,3,2
135,8,2
136,0,2
137,3,2
138,3,2
139,6,2
140,3,2
141,7,2
142,4,2
143,1,2
144,4,2
145,6,2
146,7,2
147,0,2
148,3,2
149,7,2
150,5,2
151,3,2
152,1,2
153,6,2
154,1,2
155,6,2
156,4,2
157,7,2
158,6,2
159,2,2
160,4,2
161,9,2
162,7,2
163,0,2
164,4,2
165,8,2
166,1,2
167,3,2
168,0,2
169,4,2
170,3,2
171,4,2
172,2,2
173,5,2
174,7,2
175,8,2
176,1,2
177,0,2
178,3,2
179,6,2
180,7,2
181,7,2
182,1,2
183,6,2
184,1,2
185,2,2
186,0,2
187,5,2
188,5,2
189,0,2
190,8,2
191,7,2
192,2,2
193,3,2
194,3,2
195,1,2
196,5,2
197,9,2
198,0,2
199,9,2
200,1,2
201,0,2
202,2,2
203,1,2
204,0,2
205,8,2
206,1,2
207,9,2
208,7,2
209,9,2
210,0,2
211,3,2
212,1,2
213,9,2
214,7,2
215,0,2
216,4,2
217,2,2
218,8,2
219,3,2
220,6,2
221,3,2
222,8,2
223,1,2
224,8,2
225,1,2
226,4,2
227,8,2
228,9,2
229,1,2
230,3,2
231,4,2
232,8,2
233,9,2
234,2,2
235,0,2
236,0,2
237,0,2
238,4,2
239,1,2
240,3,2
241,0,2
242,7,2
243,2,2
244,3,2
245,4,2
246,5,2
247,4,2
248,7,2
249,0,2
250,7,2
251,6,2
252,2,2
253,9,2
254,4,2
255,0,2
256,8,2
257,1,2
258,3,2
259,1,2
260,1,2
261,8,2
262,8,2
263,3,2
264,5,2
265,6,2
266,1,2
267,3,2
268,5,2
269,7,2
270,2,2
271,1,2
272,1,2
273,0,2
274,8,2
275,4,2
276,7,2
277,7,2
278,5,2
279,2,2
280,1,2
281,4,2
